Provider,PotentialFraud,IP_TotalClaims,IP_TotalReimbursed,IP_AvgReimbursed,IP_MaxReimbursed,IP_AvgLOS,IP_MaxLOS,IP_AvgDiagnosisCount,IP_AvgProcedureCount,IP_AvgDeductible,IP_UniquePatients,IP_UniqueAttendingPhysicians,IP_UniqueOperatingPhysicians,IP_AvgPatientAge,IP_AvgChronicConds,IP_DeadPatientCount,IP_AvgClaimDuration,IP_TotalDeductible,OP_TotalClaims,OP_TotalReimbursed,OP_AvgReimbursed,OP_MaxReimbursed,OP_AvgDiagnosisCount,OP_AvgProcedureCount,OP_AvgDeductible,OP_UniquePatients,OP_UniqueAttendingPhysicians,OP_UniqueOperatingPhysicians,OP_AvgPatientAge,OP_AvgChronicConds,OP_DeadPatientCount,OP_AvgClaimDuration,OP_TotalDeductible,IP_ReimbursedPerPatient,OP_ReimbursedPerPatient,IP_ClaimsPerPatient,OP_ClaimsPerPatient,TotalClaims,TotalReimbursed,TotalUniquePatients
PRV51015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,700.0,87.5,200.0,3.125,0.0,0.0,7.0,3.0,1.0,71.625,6.375,0.0,0.375,0.0,0.0,87.5,0.0,1.0,8.0,700.0,7.0
PRV51016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,170.0,28.333333333333332,90.0,3.5,0.0,0.0,6.0,3.0,1.0,70.5,5.5,0.0,0.3333333333333333,0.0,0.0,24.285714285714285,0.0,0.8571428571428571,6.0,170.0,6.0
PRV51017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,142720.0,277.126213592233,3300.0,2.704854368932039,0.003883495145631068,2.0388349514563107,420.0,113.0,46.0,72.14368932038835,4.36504854368932,5.0,1.3572815533980582,1050.0,0.0,339.00237529691213,0.0,1.2232779097387174,515.0,142720.0,420.0
PRV51021,1,29.0,269000.0,9275.862068965518,57000.0,4.758620689655173,17.0,8.517241379310345,0.7586206896551724,1068.0,23.0,7.0,7.0,70.48275862068965,6.0344827586206895,0.0,4.793103448275862,30972.0,228.0,79830.0,350.13157894736844,3300.0,2.780701754385965,0.0,2.280701754385965,187.0,67.0,23.0,72.85087719298245,4.548245614035087,1.0,1.644736842105263,520.0,11208.333333333334,424.6276595744681,1.2083333333333333,1.2127659574468086,257.0,348830.0,210.0
PRV51023,0,9.0,54000.0,6000.0,13000.0,3.5555555555555554,10.0,8.0,0.5555555555555556,1068.0,9.0,4.0,4.0,73.33333333333333,5.0,0.0,3.5555555555555554,8544.0,27.0,11610.0,430.0,2200.0,3.4074074074074074,0.0,2.962962962962963,27.0,10.0,5.0,72.55555555555556,4.148148148148148,0.0,3.7037037037037037,80.0,5400.0,414.64285714285717,0.9,0.9642857142857143,36.0,65610.0,36.0
PRV51024,0,9.0,61000.0,6777.777777777777,13000.0,4.333333333333333,10.0,7.111111111111111,0.7777777777777778,1068.0,9.0,1.0,1.0,69.22222222222223,5.666666666666667,0.0,4.333333333333333,9612.0,30.0,3050.0,101.66666666666667,400.0,2.433333333333333,0.0,3.0,29.0,12.0,5.0,67.66666666666667,4.433333333333334,0.0,0.8333333333333334,90.0,6100.0,101.66666666666667,0.9,1.0,39.0,64050.0,38.0
PRV51025,0,13.0,86000.0,6615.384615384615,17000.0,7.0,28.0,7.769230769230769,0.9230769230769231,1068.0,12.0,2.0,2.0,69.6923076923077,4.769230769230769,0.0,7.0,13884.0,74.0,32350.0,437.1621621621622,3300.0,2.9594594594594597,0.0,5.405405405405405,66.0,34.0,13.0,74.1891891891892,4.378378378378378,0.0,1.3243243243243243,400.0,6615.384615384615,482.8358208955224,1.0,1.1044776119402986,87.0,118350.0,78.0
PRV51026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,19840.0,261.05263157894734,3300.0,2.4078947368421053,0.0,4.473684210526316,56.0,29.0,10.0,69.5657894736842,4.078947368421052,1.0,1.0921052631578947,340.0,0.0,348.0701754385965,0.0,1.3333333333333333,76.0,19840.0,56.0
PRV51027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,29840.0,563.0188679245283,3300.0,2.4716981132075473,0.0,0.0,44.0,10.0,6.0,73.0,4.830188679245283,1.0,2.1320754716981134,0.0,0.0,663.1111111111111,0.0,1.1777777777777778,53.0,29840.0,44.0
PRV51029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,30660.0,329.6774193548387,3300.0,2.838709677419355,0.0,1.7204301075268817,79.0,38.0,10.0,70.91397849462365,3.913978494623656,1.0,0.6989247311827957,160.0,0.0,383.25,0.0,1.1625,93.0,30660.0,79.0
PRV51030,0,82.0,705600.0,8604.878048780487,57000.0,4.621951219512195,23.0,8.097560975609756,0.6951219512195121,1068.0,71.0,1.0,1.0,72.29268292682927,5.304878048780488,1.0,4.621951219512195,86508.0,89.0,34160.0,383.82022471910113,3300.0,2.438202247191011,0.0,2.696629213483146,78.0,45.0,11.0,71.4494382022472,4.314606741573034,1.0,1.8876404494382022,240.0,9800.0,432.40506329113924,1.1388888888888888,1.1265822784810127,171.0,739760.0,149.0
PRV51031,0,28.0,329000.0,11750.0,68000.0,5.535714285714286,18.0,8.392857142857142,0.8928571428571429,1068.0,26.0,2.0,2.0,72.46428571428571,5.285714285714286,0.0,5.535714285714286,29904.0,157.0,30720.0,195.6687898089172,2300.0,2.464968152866242,0.0,2.1656050955414012,135.0,58.0,14.0,72.6624203821656,4.898089171974522,1.0,1.3694267515923566,340.0,12185.185185185184,225.88235294117646,1.037037037037037,1.1544117647058822,185.0,359720.0,161.0
PRV51032,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5420.0,235.65217391304347,2900.0,2.347826086956522,0.0,2.1739130434782608,21.0,10.0,4.0,69.43478260869566,4.434782608695652,1.0,0.9130434782608695,50.0,0.0,246.36363636363637,0.0,1.0454545454545454,23.0,5420.0,21.0
PRV51035,0,1.0,29000.0,29000.0,29000.0,14.0,14.0,9.0,1.0,1068.0,1.0,1.0,1.0,87.0,8.0,0.0,14.0,1068.0,29.0,3560.0,122.75862068965517,700.0,2.1724137931034484,0.0,12.413793103448276,24.0,17.0,6.0,73.3103448275862,4.827586206896552,0.0,1.8620689655172413,360.0,14500.0,142.4,0.5,1.16,30.0,32560.0,25.0
PRV51036,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,74880.0,269.3525179856115,4400.0,2.615107913669065,0.0,5.071942446043166,131.0,5.0,3.0,72.65827338129496,4.399280575539568,0.0,1.0503597122302157,1410.0,0.0,567.2727272727273,0.0,2.106060606060606,278.0,74880.0,131.0
PRV51037,1,23.0,214000.0,9304.347826086956,23000.0,4.565217391304348,17.0,8.043478260869565,0.5652173913043478,1068.0,21.0,1.0,1.0,71.04347826086956,6.0,0.0,4.521739130434782,24564.0,431.0,128230.0,297.51740139211137,3300.0,2.7169373549883993,0.0,2.2273781902552203,202.0,2.0,2.0,71.93039443155452,4.5846867749419955,10.0,1.3735498839907192,960.0,9727.272727272728,631.6748768472906,1.0454545454545454,2.123152709359606,454.0,342230.0,223.0
PRV51038,0,30.0,229600.0,7653.333333333333,17000.0,4.033333333333333,24.0,7.3,0.5,1068.0,26.0,2.0,2.0,71.16666666666667,4.966666666666667,1.0,4.033333333333333,30972.0,111.0,35890.0,323.3333333333333,3300.0,2.2432432432432434,0.0,1.981981981981982,83.0,43.0,14.0,71.66666666666667,4.8108108108108105,0.0,1.1711711711711712,220.0,8503.703703703704,427.26190476190476,1.1111111111111112,1.3214285714285714,141.0,265490.0,109.0
PRV51040,0,9.0,63000.0,7000.0,21000.0,10.555555555555555,33.0,7.777777777777778,0.7777777777777778,1068.0,8.0,4.0,3.0,75.66666666666667,5.777777777777778,0.0,10.555555555555555,8544.0,77.0,11470.0,148.96103896103895,1600.0,2.948051948051948,0.0,3.116883116883117,62.0,13.0,6.0,70.63636363636364,4.207792207792208,1.0,0.6233766233766234,240.0,7000.0,182.06349206349208,1.0,1.2222222222222223,86.0,74470.0,70.0
PRV51041,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7410.0,217.94117647058823,3200.0,2.5294117647058822,0.0,7.9411764705882355,31.0,9.0,4.0,70.41176470588235,4.088235294117647,0.0,2.3529411764705883,270.0,0.0,231.5625,0.0,1.0625,34.0,7410.0,31.0
PRV51042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,48050.0,338.38028169014086,3300.0,2.4859154929577465,0.0,2.183098591549296,128.0,52.0,27.0,72.59859154929578,4.070422535211268,0.0,1.232394366197183,310.0,0.0,372.48062015503876,0.0,1.1007751937984496,142.0,48050.0,128.0
PRV51043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4480.0,194.7826086956522,1100.0,1.9130434782608696,0.0,0.0,20.0,6.0,2.0,74.17391304347827,4.260869565217392,0.0,0.0,0.0,0.0,213.33333333333334,0.0,1.0952380952380953,23.0,4480.0,20.0
PRV51044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,21330.0,361.52542372881356,3300.0,2.389830508474576,0.0,2.2033898305084745,39.0,1.0,1.0,69.15254237288136,4.508474576271187,0.0,2.152542372881356,130.0,0.0,533.25,0.0,1.475,59.0,21330.0,39.0
PRV51045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8390.0,270.64516129032256,3300.0,2.6451612903225805,0.0,1.2903225806451613,29.0,16.0,4.0,71.3225806451613,4.483870967741935,0.0,2.2580645161290325,40.0,0.0,279.6666666666667,0.0,1.0333333333333334,31.0,8390.0,29.0
PRV51046,0,8.0,101000.0,12625.0,38000.0,4.5,9.0,8.0,0.625,1068.0,7.0,1.0,1.0,75.125,5.875,0.0,4.5,8544.0,30.0,8370.0,279.0,2000.0,2.2666666666666666,0.0,3.3333333333333335,19.0,5.0,2.0,71.26666666666667,4.9,0.0,0.8666666666666667,100.0,12625.0,418.5,1.0,1.5,38.0,109370.0,26.0
PRV51047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2530.0,230.0,1300.0,2.0,0.0,0.0,11.0,10.0,1.0,70.54545454545455,3.909090909090909,0.0,3.090909090909091,0.0,0.0,210.83333333333334,0.0,0.9166666666666666,11.0,2530.0,11.0
PRV51048,0,4.0,19000.0,4750.0,7000.0,4.75,10.0,8.5,0.75,1068.0,4.0,4.0,3.0,67.0,6.0,0.0,4.75,4272.0,34.0,8700.0,255.88235294117646,3300.0,2.2941176470588234,0.0,2.3529411764705883,30.0,11.0,4.0,70.67647058823529,4.794117647058823,0.0,0.11764705882352941,80.0,3800.0,280.64516129032256,0.8,1.096774193548387,38.0,27700.0,34.0
PRV51049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,21720.0,305.9154929577465,3300.0,2.5774647887323945,0.0,2.676056338028169,65.0,35.0,11.0,70.64788732394366,4.661971830985915,0.0,1.7887323943661972,190.0,0.0,329.09090909090907,0.0,1.0757575757575757,71.0,21720.0,65.0
PRV51052,1,2.0,14000.0,7000.0,9000.0,9.0,14.0,8.5,0.5,1068.0,2.0,2.0,1.0,73.5,6.0,0.0,9.0,2136.0,44.0,16800.0,381.8181818181818,3300.0,3.0454545454545454,0.0,4.7727272727272725,36.0,16.0,5.0,71.47727272727273,4.068181818181818,0.0,1.9772727272727273,210.0,4666.666666666667,454.05405405405406,0.6666666666666666,1.1891891891891893,46.0,30800.0,38.0
PRV51053,0,1.0,8000.0,8000.0,8000.0,5.0,5.0,9.0,1.0,1068.0,1.0,1.0,1.0,68.0,4.0,0.0,5.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.5,0.0,1.0,8000.0,1.0
PRV51054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,15130.0,265.43859649122805,1900.0,2.491228070175439,0.0,2.456140350877193,40.0,3.0,2.0,70.33333333333333,3.456140350877193,0.0,2.3508771929824563,140.0,0.0,369.0243902439024,0.0,1.3902439024390243,57.0,15130.0,40.0
PRV51055,0,2.0,16700.0,8350.0,16000.0,5.5,6.0,9.0,1.0,1068.0,2.0,1.0,1.0,54.5,4.0,0.0,5.5,2136.0,20.0,4940.0,247.0,2300.0,3.1,0.0,3.5,20.0,5.0,2.0,70.15,4.75,0.0,0.1,70.0,5566.666666666667,235.23809523809524,0.6666666666666666,0.9523809523809523,22.0,21640.0,22.0
PRV51056,0,2.0,8000.0,4000.0,5000.0,3.0,5.0,7.5,1.0,1068.0,2.0,1.0,1.0,83.5,5.5,0.0,3.0,2136.0,20.0,6700.0,335.0,2500.0,2.35,0.0,0.5,19.0,5.0,2.0,76.0,5.55,0.0,0.5,10.0,2666.6666666666665,335.0,0.6666666666666666,1.0,22.0,14700.0,21.0
PRV51057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6830.0,1366.0,3300.0,4.0,0.0,0.0,4.0,1.0,1.0,78.0,3.2,0.0,0.0,0.0,0.0,1366.0,0.0,1.0,5.0,6830.0,4.0
PRV51058,0,5.0,91000.0,18200.0,57000.0,7.4,16.0,8.4,1.0,1068.0,5.0,5.0,3.0,73.8,6.2,0.0,7.4,5340.0,78.0,16030.0,205.51282051282053,2500.0,2.9743589743589745,0.0,2.5641025641025643,71.0,29.0,8.0,73.41025641025641,4.410256410256411,0.0,0.9102564102564102,200.0,15166.666666666666,222.63888888888889,0.8333333333333334,1.0833333333333333,83.0,107030.0,76.0
PRV51059,1,25.0,401000.0,16040.0,57000.0,6.88,35.0,8.88,0.96,1068.0,23.0,12.0,11.0,78.48,6.16,0.0,6.88,26700.0,71.0,20060.0,282.53521126760563,3300.0,2.3943661971830985,0.0,3.380281690140845,60.0,21.0,8.0,72.5774647887324,3.5211267605633805,0.0,0.9295774647887324,240.0,16708.333333333332,328.8524590163934,1.0416666666666667,1.1639344262295082,96.0,421060.0,83.0
PRV51060,0,5.0,35000.0,7000.0,14000.0,4.8,9.0,8.4,0.0,1068.0,5.0,5.0,0.0,75.6,6.6,0.0,4.8,5340.0,37.0,8710.0,235.40540540540542,1020.0,2.72972972972973,0.0,0.0,37.0,24.0,5.0,70.91891891891892,4.243243243243243,0.0,1.972972972972973,0.0,5833.333333333333,229.21052631578948,0.8333333333333334,0.9736842105263158,42.0,43710.0,42.0
PRV51061,0,1.0,3000.0,3000.0,3000.0,8.0,8.0,7.0,2.0,1068.0,1.0,1.0,1.0,84.0,5.0,0.0,8.0,1068.0,144.0,51940.0,360.69444444444446,6700.0,2.5208333333333335,0.0,1.8055555555555556,66.0,6.0,3.0,76.88194444444444,4.055555555555555,0.0,2.3541666666666665,260.0,1500.0,775.223880597015,0.5,2.1492537313432836,145.0,54940.0,67.0
PRV51062,0,3.0,45000.0,15000.0,25000.0,4.333333333333333,6.0,9.0,1.6666666666666667,1068.0,3.0,3.0,3.0,74.0,4.333333333333333,0.0,4.333333333333333,3204.0,394.0,108380.0,275.0761421319797,3300.0,2.697969543147208,0.0,1.8781725888324874,164.0,3.0,3.0,72.76903553299492,4.741116751269035,0.0,1.5761421319796953,740.0,11250.0,656.8484848484849,0.75,2.3878787878787877,397.0,153380.0,167.0
PRV51063,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,51110.0,343.02013422818794,3300.0,2.51006711409396,0.0,1.0738255033557047,115.0,3.0,3.0,69.38255033557047,4.469798657718121,1.0,1.610738255033557,160.0,0.0,440.6034482758621,0.0,1.2844827586206897,149.0,51110.0,115.0
PRV51064,1,36.0,280000.0,7777.777777777777,37000.0,5.305555555555555,29.0,7.833333333333333,0.7222222222222222,1068.0,34.0,28.0,17.0,71.63888888888889,5.25,0.0,5.305555555555555,38448.0,267.0,80320.0,300.8239700374532,3300.0,2.7790262172284645,0.0,1.8726591760299625,198.0,97.0,32.0,73.10112359550561,4.629213483146067,1.0,1.4981273408239701,500.0,8000.0,403.6180904522613,1.0285714285714285,1.3417085427135678,303.0,360320.0,232.0
PRV51065,0,10.0,75000.0,7500.0,11000.0,5.6,17.0,8.9,0.9,1068.0,10.0,3.0,1.0,80.3,5.0,0.0,5.6,9612.0,18.0,1570.0,87.22222222222223,300.0,2.7777777777777777,0.0,6.111111111111111,16.0,7.0,3.0,72.5,4.333333333333333,0.0,1.4444444444444444,110.0,6818.181818181818,92.3529411764706,0.9090909090909091,1.0588235294117647,28.0,76570.0,26.0
PRV51066,0,2.0,19000.0,9500.0,15000.0,2.0,3.0,7.5,1.0,1068.0,2.0,2.0,2.0,54.5,2.5,0.0,2.0,2136.0,22.0,5790.0,263.1818181818182,2200.0,2.8181818181818183,0.0,4.545454545454546,19.0,6.0,5.0,69.81818181818181,4.0,1.0,1.0,100.0,6333.333333333333,289.5,0.6666666666666666,1.1,24.0,24790.0,21.0
PRV51067,1,12.0,326000.0,27166.666666666668,83000.0,6.583333333333333,23.0,8.916666666666666,1.0833333333333333,1068.0,11.0,6.0,4.0,78.83333333333333,5.25,0.0,6.583333333333333,12816.0,46.0,8520.0,185.2173913043478,2100.0,2.652173913043478,0.0,6.086956521739131,39.0,19.0,4.0,65.21739130434783,4.304347826086956,0.0,1.1956521739130435,280.0,27166.666666666668,213.0,1.0,1.15,58.0,334520.0,50.0
PRV51068,0,9.0,77000.0,8555.555555555555,19000.0,3.0,6.0,7.777777777777778,0.3333333333333333,1068.0,9.0,8.0,3.0,72.44444444444444,4.444444444444445,0.0,3.0,8544.0,252.0,66260.0,262.93650793650795,3300.0,2.7182539682539684,0.0,1.746031746031746,206.0,74.0,32.0,70.62698412698413,4.281746031746032,3.0,1.3174603174603174,440.0,7700.0,320.0966183574879,0.9,1.2173913043478262,261.0,143260.0,215.0
PRV51070,0,10.0,101000.0,10100.0,22000.0,4.1,15.0,7.7,0.6,1068.0,10.0,10.0,4.0,70.7,5.8,0.0,4.1,10680.0,89.0,24410.0,274.2696629213483,3300.0,2.4831460674157304,0.0,3.3707865168539324,61.0,36.0,12.0,69.85393258426966,3.764044943820225,0.0,1.6629213483146068,300.0,9181.818181818182,393.7096774193548,0.9090909090909091,1.435483870967742,99.0,125410.0,71.0
PRV51071,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8550.0,356.25,3200.0,2.625,0.0,2.0833333333333335,24.0,11.0,2.0,68.41666666666667,4.875,0.0,2.0833333333333335,50.0,0.0,342.0,0.0,0.96,24.0,8550.0,24.0
PRV51072,0,12.0,72000.0,6000.0,14000.0,4.25,13.0,8.833333333333334,0.5,1068.0,12.0,10.0,7.0,76.08333333333333,5.083333333333333,0.0,4.25,11748.0,200.0,47170.0,235.85,3200.0,2.81,0.0,2.15,150.0,42.0,17.0,72.055,4.395,4.0,1.375,430.0,5538.461538461538,312.3841059602649,0.9230769230769231,1.3245033112582782,212.0,119170.0,162.0
PRV51074,0,5.0,31000.0,6200.0,15000.0,2.6,4.0,8.2,0.2,1068.0,5.0,4.0,1.0,75.8,5.4,0.0,2.6,5340.0,34.0,10170.0,299.11764705882354,2500.0,3.0294117647058822,0.0,2.3529411764705883,34.0,11.0,4.0,72.47058823529412,4.5,0.0,1.7941176470588236,80.0,5166.666666666667,290.57142857142856,0.8333333333333334,0.9714285714285714,39.0,41170.0,39.0
PRV51075,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8550.0,502.94117647058823,3000.0,2.3529411764705883,0.0,4.117647058823529,13.0,4.0,2.0,76.58823529411765,4.470588235294118,0.0,1.1764705882352942,70.0,0.0,610.7142857142857,0.0,1.2142857142857142,17.0,8550.0,13.0
PRV51076,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10230.0,352.7586206896552,3300.0,2.5172413793103448,0.0,1.7241379310344827,27.0,8.0,3.0,75.72413793103448,4.758620689655173,1.0,1.1724137931034482,50.0,0.0,365.35714285714283,0.0,1.0357142857142858,29.0,10230.0,27.0
PRV51077,1,16.0,199000.0,12437.5,56000.0,5.9375,19.0,7.9375,0.5,1068.0,13.0,1.0,1.0,72.1875,6.9375,0.0,5.9375,16020.0,17.0,5350.0,314.70588235294116,2600.0,2.3529411764705883,0.0,11.764705882352942,17.0,10.0,1.0,68.6470588235294,4.529411764705882,0.0,2.5294117647058822,200.0,14214.285714285714,297.22222222222223,1.1428571428571428,0.9444444444444444,33.0,204350.0,30.0
PRV51078,0,9.0,76000.0,8444.444444444445,16000.0,6.666666666666667,21.0,8.88888888888889,0.8888888888888888,1068.0,9.0,3.0,3.0,69.33333333333333,5.111111111111111,0.0,6.666666666666667,8544.0,14.0,2270.0,162.14285714285714,800.0,2.357142857142857,0.0,7.142857142857143,14.0,10.0,2.0,71.42857142857143,3.642857142857143,0.0,0.07142857142857142,100.0,7600.0,151.33333333333334,0.9,0.9333333333333333,23.0,78270.0,23.0
